classification,origin,Distance (m),Easting,Northing,Elevation,intensity,returnNumber,returns,pointSourceID
Ground,Point Cloud,3491.181688950255,-12333887.855274845,4636578.879520463,1403.678714491481,0.06689555199511711,1,1,216
Ground,Point Cloud,3492.1119895426855,-12333889.040299308,4636578.921382737,1403.528976346132,0.08007934691386283,1,1,216
Ground,Point Cloud,3492.5536111696674,-12333889.600609787,4636579.204758156,1403.469403105509,0.07568474860761425,1,1,216
Ground,Point Cloud,3492.4814699466915,-12333889.51205497,4636578.807066521,1403.5386368716381,0.06836041809719998,1,1,216
Ground,Point Cloud,3492.761575825778,-12333889.869494414,4636578.744273104,1403.4790636310154,0.07568474860761425,1,1,216
Ground,Point Cloud,3493.1720148400163,-12333890.391162792,4636578.898841514,1403.3985592517954,0.07983520256351567,1,1,216
Ground,Point Cloud,3493.542245382545,-12333890.86452854,4636578.70724109,1403.3083943470688,0.07837033646143282,1,1,216
Ground,Point Cloud,3493.6246667064224,-12333890.965964058,4636579.130694124,1403.2987338215626,0.07788204776073854,1,1,216
Ground,Point Cloud,3494.0830937347746,-12333891.552035939,4636578.9004516015,1403.2697522450433,0.07959105821316853,1,1,216
Unclassified,Point Cloud,3494.5548616455453,-12333892.152598608,4636578.966465194,1403.3486465366789,0.07666132600900283,1,1,216
Ground,Point Cloud,3495.105239954566,-12333892.85137662,4636579.262721304,1403.3389860111724,0.07275501640344854,1,1,216
Ground,Point Cloud,3495.0239110904186,-12333892.751551189,4636578.813506871,1403.2697522450433,0.07299916075379569,1,1,216
Ground,Point Cloud,3495.434435685882,-12333893.273219569,4636578.980955978,1403.3083943470688,0.07299916075379569,1,1,216
Ground,Point Cloud,3517.0124324010685,-12333898.937507689,4636600.668835744,1403.859044300934,0.0822766460669871,1,1,216
Ground,Point Cloud,3517.332028136123,-12333899.026062505,4636601.077797987,1403.8284526368307,0.07446402685587854,1,1,216
Ground,Point Cloud,3517.0826408248395,-12333899.486547554,4636600.759000645,1403.8397232499215,0.07666132600900283,1,1,216
Ground,Point Cloud,3516.7617928413674,-12333899.385112038,4636600.348428314,1403.8799754395313,0.08642710002288853,1,1,216
Ground,Point Cloud,3516.452264449559,-12333899.296557222,4636599.952346766,1403.918617541557,0.07397573815518425,1,1,216
Ground,Point Cloud,3515.790421455633,-12333899.119447585,4636599.105440694,1403.9492092056607,0.07861448081177996,1,1,216
Ground,Point Cloud,3515.4808930638246,-12333899.030892769,4636598.709359152,1403.9798008697644,0.07837033646143282,1,1,216
Ground,Point Cloud,3515.16129732877,-12333898.942337953,4636598.300396905,1403.9894613952706,0.07519645990691996,1,1,216
Ground,Point Cloud,3513.310168426018,-12333898.934287515,4636595.93195807,1404.0989473510099,0.08178835736629282,1,1,216
Ground,Point Cloud,3513.9304836280644,-12333899.111397147,4636596.725731248,1404.0586951614,0.07519645990691996,1,1,216
