subsets,resolution,astar,total,num_points,cost,path_length
3600.000000,4800.000000,208.858953,208.859070,11161732.000000,1237.710650,884.890185
3700.000000,4800.000000,214.750593,214.750717,11161732.000000,1237.710650,884.890185
3800.000000,4800.000000,219.297362,219.297471,11161732.000000,1237.710650,884.890185
3900.000000,4800.000000,227.089657,227.089766,11161732.000000,1237.710650,884.890185
4000.000000,4800.000000,230.970000,230.970504,11161732.000000,1237.710650,884.890185
4100.000000,4800.000000,236.858393,236.858496,11161732.000000,1237.710650,884.890185
4200.000000,4800.000000,242.642004,242.642130,11161732.000000,1237.710650,884.890185
4300.000000,4800.000000,250.580552,250.580656,11161732.000000,1237.710650,884.890185
4400.000000,4800.000000,254.595837,254.595941,11161732.000000,1237.710650,884.890185
4500.000000,4800.000000,259.536644,259.536745,11161732.000000,1261.761083,907.478810
4600.000000,4800.000000,265.000914,265.001023,11161732.000000,1261.761083,907.478810
4700.000000,4800.000000,271.089372,271.089481,11161732.000000,1261.761083,907.478810
4800.000000,4800.000000,276.766630,276.766719,11161732.000000,1261.761083,907.478810
100.000000,4400.000000,8.686597,8.686716,11161732.000000,1130.890453,867.379902
200.000000,4400.000000,14.136171,14.136283,11161732.000000,1130.890453,867.379902
300.000000,4400.000000,20.088622,20.088715,11161732.000000,1181.719807,857.317254
400.000000,4400.000000,25.754022,25.754127,11161732.000000,1181.719807,857.317254
500.000000,4400.000000,31.457680,31.457771,11161732.000000,1181.719807,857.317254
600.000000,4400.000000,38.141612,38.141718,11161732.000000,1195.130688,844.118510
700.000000,4400.000000,42.962397,42.962492,11161732.000000,1195.130688,844.118510
800.000000,4400.000000,48.544026,48.544152,11161732.000000,1195.130688,844.118510
900.000000,4400.000000,54.315721,54.315826,11161732.000000,1195.130688,844.118510
1000.000000,4400.000000,59.986846,59.986950,11161732.000000,1229.324851,902.493736
1100.000000,4400.000000,65.567217,65.567309,11161732.000000,1229.324851,902.493736
1200.000000,4400.000000,71.438207,71.438315,11161732.000000,1229.324851,902.493736
1300.000000,4400.000000,78.223521,78.223623,11161732.000000,1229.324851,902.493736
1400.000000,4400.000000,82.856701,82.856817,11161732.000000,1229.324851,902.493736
1500.000000,4400.000000,88.783919,88.784027,11161732.000000,1212.134683,888.202300
1600.000000,4400.000000,94.185595,94.185708,11161732.000000,1212.134683,888.202300
1700.000000,4400.000000,99.801545,99.801645,11161732.000000,1212.134683,888.202300
1800.000000,4400.000000,107.318924,107.319016,11161732.000000,1212.134683,888.202300
1900.000000,4400.000000,111.573037,111.573225,11161732.000000,1212.134683,888.202300
2000.000000,4400.000000,117.309959,117.310067,11161732.000000,1212.134683,888.202300
2100.000000,4400.000000,123.902492,123.902582,11161732.000000,1205.578522,905.871789
2200.000000,4400.000000,128.680705,128.680799,11161732.000000,1205.578522,905.871789
2300.000000,4400.000000,134.306477,134.306565,11161732.000000,1205.578522,905.871789
2400.000000,4400.000000,141.540828,141.540928,11161732.000000,1205.578522,905.871789
2500.000000,4400.000000,146.688700,146.688898,11161732.000000,1205.578522,905.871789
2600.000000,4400.000000,152.035798,152.035946,11161732.000000,1205.578522,905.871789
2700.000000,4400.000000,157.228302,157.228421,11161732.000000,1205.578522,905.871789
2800.000000,4400.000000,164.152656,164.152759,11161732.000000,1230.816847,874.408109
2900.000000,4400.000000,169.700906,169.701246,11161732.000000,1230.816847,874.408109
3000.000000,4400.000000,177.772672,177.772780,11161732.000000,1230.816847,874.408109
3100.000000,4400.000000,180.461464,180.461606,11161732.000000,1230.816847,874.408109
